Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD,Year
1-May,Becker,C1,,,Planted,NK 0440AT,0,2024
1-May,Becker,C2,,,Planted,NK 0440AT,0,2024
1-May,Becker,C3,,,Planted,NK 0440AT,0,2024
1-May,Becker,C4,,,Planted,NK 0440AT,0,2024
1-May,Becker,C5,,,Planted,NK 0440AT,0,2024
1-May,Becker,C6,,,Planted,NK 0440AT,0,2024
1-May,Becker,C7,,,Planted,NK 0440AT,0,2024
1-May,Becker,C8,,,Planted,NK 0440AT,0,2024
13-May,Becker,C1,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C2,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C3,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C4,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C5,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C6,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C7,,,VE,NK 0440AT,121.77,2024
13-May,Becker,C8,,,VE,NK 0440AT,121.77,2024
20-May,Becker,C1,,,V1,NK 0440AT,215.73,2024
20-May,Becker,C2,,,V1,NK 0440AT,215.73,2024
20-May,Becker,C3,,,V1,NK 0440AT,215.73,2024
20-May,Becker,C4,,,V2,NK 0440AT,215.73,2024
20-May,Becker,C5,,,V1,NK 0440AT,215.73,2024
20-May,Becker,C6,,,V1,NK 0440AT,215.73,2024
20-May,Becker,C7,,,V1,NK 0440AT,215.73,2024
20-May,Becker,C8,,,V1,NK 0440AT,215.73,2024
28-May,Becker,C1,,,V3,NK 0440AT,310.95,2024
28-May,Becker,C2,,,V3,NK 0440AT,310.95,2024
28-May,Becker,C3,,,V3,NK 0440AT,310.95,2024
28-May,Becker,C4,,,V3,NK 0440AT,310.95,2024
28-May,Becker,C5,,,V3,NK 0440AT,310.95,2024
28-May,Becker,C6,,,V2,NK 0440AT,310.95,2024
28-May,Becker,C7,,,V3,NK 0440AT,310.95,2024
28-May,Becker,C8,,,V2,NK 0440AT,310.95,2024
7-Jun,Becker,C1,,,V4,NK 0440AT,476.01,2024
7-Jun,Becker,C2,,,V4,NK 0440AT,476.01,2024
7-Jun,Becker,C3,,,V4,NK 0440AT,476.01,2024
7-Jun,Becker,C4,,,V4,NK 0440AT,476.01,2024
7-Jun,Becker,C5,,,V4,NK 0440AT,476.01,2024
7-Jun,Becker,C6,,,V3,NK 0440AT,476.01,2024
7-Jun,Becker,C7,,,V4,NK 0440AT,476.01,2024
7-Jun,Becker,C8,,,V3,NK 0440AT,476.01,2024
13-Jun,Becker,C1,,,V5,NK 0440AT,577.89,2024
13-Jun,Becker,C2,,,V6,NK 0440AT,577.89,2024
13-Jun,Becker,C3,,,v6,NK 0440AT,577.89,2024
13-Jun,Becker,C4,,,V5,NK 0440AT,577.89,2024
13-Jun,Becker,C5,,,V5,NK 0440AT,577.89,2024
13-Jun,Becker,C6,,,V6,NK 0440AT,577.89,2024
13-Jun,Becker,C7,,,V5,NK 0440AT,577.89,2024
13-Jun,Becker,C8,,,V5,NK 0440AT,577.89,2024
21-Jun,Becker,C1,,,V6,NK 0440AT,721.26,2024
21-Jun,Becker,C2,,,V7,NK 0440AT,721.26,2024
21-Jun,Becker,C3,,,V7,NK 0440AT,721.26,2024
21-Jun,Becker,C4,,,V6,NK 0440AT,721.26,2024
21-Jun,Becker,C5,,,V6,NK 0440AT,721.26,2024
21-Jun,Becker,C6,,,V6,NK 0440AT,721.26,2024
21-Jun,Becker,C7,,,V6,NK 0440AT,721.26,2024
21-Jun,Becker,C8,,,V7,NK 0440AT,721.26,2024
28-Jun,Becker,C1,,,V8,NK 0440AT,859.68,2024
28-Jun,Becker,C2,,,V8,NK 0440AT,859.68,2024
28-Jun,Becker,C3,,,V8,NK 0440AT,859.68,2024
28-Jun,Becker,C4,,,V8,NK 0440AT,859.68,2024
28-Jun,Becker,C5,,,V7,NK 0440AT,859.68,2024
28-Jun,Becker,C6,,,V8,NK 0440AT,859.68,2024
28-Jun,Becker,C7,,,V7,NK 0440AT,859.68,2024
28-Jun,Becker,C8,,,V7,NK 0440AT,859.68,2024
8-Jul,Becker,C1,,,V10,NK 0440AT,1037.43,2024
8-Jul,Becker,C2,,,V10,NK 0440AT,1037.43,2024
8-Jul,Becker,C3,,,V10,NK 0440AT,1037.43,2024
8-Jul,Becker,C4,,,V10,NK 0440AT,1037.43,2024
8-Jul,Becker,C5,,,V10,NK 0440AT,1037.43,2024
8-Jul,Becker,C6,,,V9,NK 0440AT,1037.43,2024
8-Jul,Becker,C7,,,V9,NK 0440AT,1037.43,2024
8-Jul,Becker,C8,,,V8,NK 0440AT,1037.43,2024
16-Jul,Becker,C1,,,V13,NK 0440AT,1228.32,2024
16-Jul,Becker,C2,,,V13,NK 0440AT,1228.32,2024
16-Jul,Becker,C3,,,V13,NK 0440AT,1228.32,2024
16-Jul,Becker,C4,,,V13,NK 0440AT,1228.32,2024
16-Jul,Becker,C5,,,V12,NK 0440AT,1228.32,2024
16-Jul,Becker,C6,,,V12,NK 0440AT,1228.32,2024
16-Jul,Becker,C7,,,V12,NK 0440AT,1228.32,2024
16-Jul,Becker,C8,,,v11,NK 0440AT,1228.32,2024
21-Jul,Becker,C1,,,VT,NK 0440AT,1326.33,2024
21-Jul,Becker,C2,,,VT,NK 0440AT,1326.33,2024
21-Jul,Becker,C3,,,VT,NK 0440AT,1326.33,2024
